GenderCode,Age,Tenure,Target_Performance,RaceDesc_Black,RaceDesc_Hispanic,RaceDesc_Other,RaceDesc_White,DepartmentType_Executive Office,DepartmentType_IT/IS,DepartmentType_Production       ,DepartmentType_Sales,DepartmentType_Software Engineering,PayZone_Zone B,PayZone_Zone C
0,42,2485,2,0,0,0,0,0,0,0,1,0,0,1
0,32,2146,2,1,0,0,0,0,0,0,1,0,1,0
0,33,30,2,0,0,1,0,0,0,0,1,0,1,0
0,61,1614,2,0,0,1,0,0,0,0,1,0,0,0
1,45,1608,2,0,1,0,0,0,0,0,1,0,0,1
1,27,57,2,0,0,0,1,0,0,0,1,0,0,0
1,55,1182,2,0,0,0,0,0,0,0,1,0,0,1
1,26,579,2,0,0,0,1,0,0,0,1,0,1,0
0,67,730,2,0,0,1,0,0,0,0,1,0,0,0
0,49,2407,2,0,0,0,1,0,0,0,1,0,0,1
0,74,1565,2,0,0,1,0,0,0,0,1,0,0,0
0,45,1667,2,0,1,0,0,0,0,0,1,0,1,0
0,82,2074,2,0,1,0,0,0,0,0,1,0,1,0
0,37,1352,2,0,0,1,0,0,0,0,1,0,1,0
0,53,771,2,0,0,0,1,0,0,0,1,0,0,0
0,83,1756,2,0,0,0,0,0,0,0,1,0,1,0
1,48,1846,2,1,0,0,0,0,0,0,1,0,0,1
1,69,2275,2,0,1,0,0,0,0,0,1,0,0,0
1,29,136,2,0,0,0,0,0,0,0,1,0,1,0
1,29,66,2,1,0,0,0,0,0,0,1,0,0,1
0,66,264,2,0,0,1,0,0,0,0,1,0,0,1
0,68,2210,2,0,0,0,0,0,0,0,1,0,1,0
0,29,276,2,0,0,0,1,0,0,0,1,0,0,0
0,37,290,2,0,0,0,0,0,0,0,1,0,1,0
0,84,2266,2,0,1,0,0,0,0,0,1,0,0,0
1,56,450,2,0,1,0,0,0,0,0,1,0,1,0
0,75,73,2,0,1,0,0,0,0,0,1,0,0,1
1,63,761,2,1,0,0,0,0,0,0,1,0,0,1
1,77,2624,2,0,0,0,0,0,0,0,1,0,0,1
1,42,2254,2,0,0,1,0,0,0,0,1,0,0,1
1,47,426,2,0,0,1,0,0,0,0,1,0,0,0
0,26,282,2,0,0,0,0,0,0,0,1,0,1,0
0,59,191,2,0,1,0,0,0,0,0,1,0,1,0
0,77,1327,2,0,0,0,1,0,0,0,1,0,1,0
0,51,300,2,1,0,0,0,0,0,0,1,0,1,0
0,34,1299,2,0,1,0,0,0,0,0,1,0,0,1
0,31,234,2,0,1,0,0,0,0,0,1,0,0,1
1,32,2364,2,1,0,0,0,0,0,0,1,0,1,0
0,83,1052,2,1,0,0,0,0,0,0,1,0,0,1
1,59,1663,2,1,0,0,0,0,1,0,0,0,1,0
0,59,775,2,0,0,0,1,0,0,0,1,0,1,0
1,66,2789,2,0,0,0,0,0,0,0,1,0,0,0
1,32,1269,2,1,0,0,0,0,0,0,1,0,0,0
1,37,1367,2,1,0,0,0,0,0,0,1,0,0,1
0,71,272,2,0,1,0,0,0,0,0,1,0,0,1
0,66,993,2,0,0,0,0,0,0,0,1,0,0,1
0,42,2339,2,0,1,0,0,0,0,0,1,0,0,1
0,42,941,3,0,0,0,1,0,0,0,1,0,1,0
0,34,1204,3,1,0,0,0,0,0,0,1,0,1,0
0,78,1115,1,0,0,0,1,0,0,0,1,0,0,0
1,45,2001,2,1,0,0,0,0,0,0,1,0,0,0
0,25,10,2,0,0,0,0,0,0,0,1,0,0,0
1,83,1519,2,1,0,0,0,0,1,0,0,0,0,1
0,45,545,3,0,1,0,0,0,0,0,1,0,1,0
1,79,1565,1,0,0,1,0,0,0,0,1,0,1,0
1,62,456,2,0,0,0,1,0,0,0,1,0,0,0
1,71,734,2,1,0,0,0,0,0,0,1,0,0,1
0,38,322,2,0,0,0,1,0,0,0,1,0,0,1
0,71,2823,1,1,0,0,0,0,0,0,1,0,0,1
0,83,108,1,0,0,0,1,0,0,0,1,0,1,0
0,77,2296,2,1,0,0,0,0,0,0,1,0,0,1
0,67,2591,2,0,0,0,0,0,0,0,1,0,0,1
1,38,121,2,0,1,0,0,0,0,0,1,0,0,1
0,64,181,3,0,0,0,1,0,0,0,1,0,1,0
0,65,2637,2,0,0,1,0,0,0,0,1,0,0,1
1,66,2682,2,1,0,0,0,0,0,1,0,0,0,0
0,34,305,2,0,0,0,1,0,0,1,0,0,0,1
1,72,1433,3,0,0,0,0,0,0,1,0,0,0,1
1,67,1133,2,0,0,0,1,0,0,1,0,0,0,1
1,72,1325,3,0,0,1,0,0,0,1,0,0,1,0
0,79,2680,0,1,0,0,0,0,0,1,0,0,1,0
1,31,676,2,0,0,0,1,0,0,1,0,0,0,1
0,58,1696,2,0,0,1,0,0,0,1,0,0,1,0
0,62,1681,2,1,0,0,0,0,0,1,0,0,0,0
0,59,1157,2,0,0,0,0,0,0,1,0,0,0,1
0,51,18,2,0,0,0,0,0,0,1,0,0,1,0
1,30,566,2,0,1,0,0,0,0,1,0,0,1,0
1,51,921,2,0,0,0,0,0,0,1,0,0,1,0
1,78,375,2,0,0,0,1,0,0,1,0,0,0,1
0,31,434,2,0,0,0,1,0,0,1,0,0,0,0
1,42,587,3,0,0,0,0,0,0,1,0,0,1,0
1,75,231,2,0,1,0,0,0,0,1,0,0,1,0
0,39,265,3,0,1,0,0,0,0,1,0,0,0,0
1,34,644,3,0,0,0,0,0,0,1,0,0,1,0
0,68,2423,2,0,0,0,1,0,0,1,0,0,0,1
0,68,2557,3,0,1,0,0,0,0,1,0,0,0,0
1,79,1810,1,0,0,0,0,0,0,1,0,0,0,1
0,84,2331,2,0,0,1,0,0,0,1,0,0,0,1
0,83,892,2,0,0,1,0,0,0,1,0,0,0,0
0,57,623,2,0,0,0,0,0,0,1,0,0,1,0
1,67,355,1,0,0,0,1,0,0,1,0,0,0,1
1,38,2089,2,0,0,1,0,0,0,1,0,0,0,1
1,33,1594,2,1,0,0,0,0,0,1,0,0,0,0
1,25,9,2,0,1,0,0,0,0,1,0,0,1,0
0,48,221,2,0,0,1,0,0,0,1,0,0,1,0
0,54,51,2,1,0,0,0,0,0,1,0,0,0,1
0,74,2566,2,0,0,0,1,0,0,1,0,0,1,0
0,30,595,2,0,0,0,0,0,0,1,0,0,0,1
1,27,552,1,0,0,0,1,0,0,1,0,0,1,0
0,27,256,2,0,0,1,0,0,0,1,0,0,1,0
0,76,2165,2,0,0,0,0,0,0,1,0,0,0,0
0,58,2701,1,1,0,0,0,0,0,1,0,0,1,0
0,74,722,2,0,0,1,0,0,0,1,0,0,0,0
0,43,2472,1,0,0,1,0,0,0,1,0,0,0,1
1,39,312,2,1,0,0,0,0,0,1,0,0,0,1
1,75,1772,1,0,0,1,0,0,0,1,0,0,0,0
1,76,2213,2,0,0,0,1,0,0,1,0,0,0,0
1,76,1280,2,0,0,0,1,0,0,1,0,0,1,0
1,59,1260,2,0,0,0,1,0,0,1,0,0,1,0
1,31,773,2,0,1,0,0,0,0,1,0,0,1,0
1,49,84,2,0,0,0,1,0,0,1,0,0,0,0
1,78,1323,1,0,1,0,0,0,0,1,0,0,1,0
0,82,2420,2,0,0,1,0,0,0,1,0,0,0,1
0,61,1268,2,0,0,1,0,0,0,1,0,0,0,1
0,49,666,2,0,0,1,0,0,0,1,0,0,0,0
0,46,2637,2,0,0,1,0,0,0,1,0,0,0,1
1,32,1797,2,0,0,1,0,0,0,1,0,0,1,0
1,53,2762,2,0,0,1,0,0,0,1,0,0,0,1
1,74,1882,2,0,1,0,0,0,0,1,0,0,0,1
0,41,1562,0,1,0,0,0,0,0,1,0,0,0,0
0,52,2626,3,0,0,0,0,0,0,1,0,0,1,0
0,52,541,2,0,0,0,1,0,0,1,0,0,1,0
0,40,497,3,0,0,0,0,0,0,1,0,0,1,0
1,45,1542,2,0,1,0,0,0,0,1,0,0,0,1
1,65,1188,2,0,1,0,0,0,0,1,0,0,0,1
0,82,1185,2,1,0,0,0,0,0,1,0,0,1,0
0,42,39,2,0,0,0,0,0,0,1,0,0,0,0
0,31,114,2,0,1,0,0,0,0,1,0,0,0,0
0,28,2714,2,0,0,0,1,0,0,1,0,0,0,0
1,30,366,2,0,1,0,0,0,0,1,0,0,0,0
1,68,2639,2,0,0,0,0,0,0,1,0,0,0,0
1,30,2307,2,0,0,0,0,0,0,1,0,0,1,0
1,50,262,2,0,0,0,0,0,0,1,0,0,1,0
1,32,1815,2,0,0,0,0,0,0,1,0,0,1,0
1,59,1164,2,1,0,0,0,0,0,1,0,0,0,1
1,80,2054,2,0,1,0,0,0,0,1,0,0,1,0
0,42,98,2,1,0,0,0,0,0,1,0,0,1,0
0,61,2627,2,0,0,1,0,0,0,1,0,0,1,0
0,79,78,2,0,0,1,0,0,0,1,0,0,0,1
0,80,30,2,0,0,0,0,0,0,1,0,0,0,1
1,39,1505,2,0,1,0,0,0,0,1,0,0,1,0
1,64,33,2,0,0,1,0,0,0,1,0,0,1,0
1,48,2016,2,0,1,0,0,0,0,1,0,0,0,1
0,44,2287,2,0,0,0,0,0,0,1,0,0,1,0
0,31,1472,2,0,0,0,0,0,0,1,0,0,0,1
0,47,1054,2,0,1,0,0,0,0,1,0,0,0,1
1,60,208,2,0,1,0,0,0,0,1,0,0,0,1
1,25,1213,2,0,0,0,0,0,0,1,0,0,0,0
0,55,449,2,0,0,1,0,0,0,1,0,0,1,0
0,47,562,2,1,0,0,0,0,0,1,0,0,1,0
0,65,2209,2,0,0,0,0,0,0,1,0,0,0,0
0,39,1418,2,1,0,0,0,0,0,1,0,0,1,0
0,48,2478,2,0,0,0,0,0,0,1,0,0,0,1
1,58,1108,2,0,1,0,0,0,0,1,0,0,0,0
1,59,33,2,1,0,0,0,0,0,1,0,0,0,0
1,77,1531,3,0,0,1,0,0,0,1,0,0,0,0
1,57,1360,3,0,0,0,1,0,0,1,0,0,0,0
1,34,879,2,0,0,0,1,0,0,1,0,0,1,0
1,35,2394,2,0,0,0,1,0,0,1,0,0,0,1
0,79,1093,2,0,0,1,0,0,0,1,0,0,0,1
0,30,906,3,0,0,0,0,0,0,1,0,0,1,0
0,31,1258,3,0,0,0,0,0,0,1,0,0,0,0
0,27,1164,2,0,0,0,0,0,0,1,0,0,0,1
0,25,2332,3,0,1,0,0,0,0,1,0,0,1,0
1,34,1709,2,1,0,0,0,0,0,1,0,0,0,1
1,59,245,2,1,0,0,0,0,0,1,0,0,0,1
0,36,11,3,0,0,1,0,0,0,1,0,0,0,0
0,51,2537,3,0,1,0,0,0,0,1,0,0,0,0
0,74,189,2,0,0,0,0,0,0,1,0,0,0,1
0,53,1056,3,0,0,1,0,0,0,1,0,0,1,0
1,48,838,3,1,0,0,0,0,0,1,0,0,1,0
1,69,463,2,0,0,1,0,0,0,1,0,0,0,1
0,41,2355,2,0,0,0,0,0,0,1,0,0,1,0
0,70,267,2,0,1,0,0,0,0,1,0,0,0,0
0,27,138,2,1,0,0,0,0,0,1,0,0,1,0
0,29,0,1,0,0,0,0,0,0,1,0,0,0,1
0,59,1079,2,1,0,0,0,0,0,1,0,0,0,0
1,57,228,1,0,1,0,0,0,0,1,0,0,0,0
1,36,144,1,0,0,0,0,0,0,1,0,0,0,0
1,35,2667,2,0,0,0,0,0,0,1,0,0,0,0
1,53,213,2,0,0,1,0,0,0,1,0,0,1,0
1,30,615,2,0,0,1,0,0,0,1,0,0,0,1
1,73,934,2,0,1,0,0,0,0,1,0,0,0,1
0,32,2805,2,1,0,0,0,0,0,1,0,0,1,0
0,66,1311,2,0,1,0,0,0,0,1,0,0,0,0
0,26,1747,2,0,0,0,0,0,0,1,0,0,0,0
0,36,2333,2,0,0,0,0,0,0,1,0,0,0,0
1,40,2229,2,0,0,1,0,0,0,1,0,0,1,0
1,50,1621,2,1,0,0,0,0,0,1,0,0,1,0
1,83,1031,2,1,0,0,0,0,0,1,0,0,0,1
0,70,39,2,0,0,1,0,0,0,1,0,0,0,1
0,71,1120,2,0,1,0,0,0,0,1,0,0,0,1
0,39,86,2,0,0,0,0,0,0,1,0,0,0,1
0,28,596,3,0,0,0,1,0,0,1,0,0,0,0
1,81,2544,3,0,0,0,1,0,0,1,0,0,1,0
1,74,822,3,0,0,0,0,0,0,1,0,0,1,0
0,65,1753,3,0,0,0,0,0,0,1,0,0,0,0
0,75,207,1,0,0,0,1,0,0,1,0,0,0,0
0,33,1988,1,0,0,0,0,0,0,1,0,0,0,1
0,46,2366,1,1,0,0,0,0,0,1,0,0,1,0
1,48,468,3,0,0,0,1,0,0,1,0,0,1,0
1,65,893,0,0,1,0,0,0,0,1,0,0,0,0
1,36,868,0,0,1,0,0,0,0,1,0,0,0,1
1,36,996,0,0,1,0,0,0,0,1,0,0,1,0
1,33,2136,0,0,0,1,0,0,0,1,0,0,0,0
1,41,69,0,0,1,0,0,0,0,1,0,0,0,0
0,49,21,0,0,0,0,0,0,0,1,0,0,1,0
0,38,2384,0,0,1,0,0,0,0,1,0,0,0,0
0,77,2368,0,0,0,1,0,0,0,1,0,0,1,0
0,50,2487,3,0,0,0,0,0,0,1,0,0,0,1
1,75,664,3,0,0,0,1,0,0,1,0,0,0,0
1,50,1005,3,0,0,0,0,0,0,1,0,0,0,1
1,58,869,3,0,0,0,1,0,0,1,0,0,0,0
0,51,2415,3,0,0,0,1,0,0,1,0,0,1,0
0,30,1240,3,0,0,0,0,0,0,1,0,0,1,0
0,52,760,3,1,0,0,0,0,0,1,0,0,0,1
0,56,1533,3,1,0,0,0,0,0,1,0,0,0,1
1,65,1648,3,0,1,0,0,0,0,1,0,0,0,1
1,45,1752,1,1,0,0,0,0,0,1,0,0,0,0
0,70,1222,1,0,0,0,0,0,0,1,0,0,0,1
0,41,2113,2,0,1,0,0,0,0,1,0,0,1,0
0,61,2297,2,0,0,0,1,0,0,1,0,0,1,0
0,50,1695,2,1,0,0,0,0,0,1,0,0,0,0
1,32,202,2,1,0,0,0,0,0,1,0,0,0,0
1,33,1082,2,0,0,0,0,0,0,1,0,0,1,0
1,79,150,2,0,0,1,0,0,0,1,0,0,0,1
1,78,1382,2,0,1,0,0,0,0,1,0,0,1,0
1,67,478,2,0,0,0,1,0,0,1,0,0,1,0
0,66,55,2,1,0,0,0,0,0,1,0,0,1,0
0,78,693,2,0,0,0,1,0,0,1,0,0,1,0
0,53,78,2,0,0,0,0,0,0,1,0,0,0,0
0,56,751,2,0,0,0,0,0,0,1,0,0,0,1
0,70,1554,2,0,0,0,0,0,0,1,0,0,1,0
1,30,432,2,0,0,1,0,0,0,1,0,0,0,0
1,81,1712,2,0,0,1,0,0,0,1,0,0,0,1
0,59,1593,2,0,1,0,0,0,0,1,0,0,0,0
0,83,208,2,0,0,1,0,0,0,1,0,0,1,0
0,60,1567,2,1,0,0,0,0,0,1,0,0,1,0
0,27,1020,2,0,1,0,0,0,0,1,0,0,1,0
0,71,2164,2,1,0,0,0,0,0,1,0,0,1,0
1,31,824,2,0,1,0,0,0,0,1,0,0,0,1
0,61,2615,2,0,0,0,1,0,0,1,0,0,0,1
0,62,2532,2,0,0,0,1,0,0,1,0,0,0,1
0,49,885,2,0,0,1,0,0,0,1,0,0,0,0
0,79,2723,2,0,1,0,0,0,0,1,0,0,1,0
1,25,269,2,0,1,0,0,0,0,1,0,0,0,0
1,75,941,2,0,0,0,0,0,0,1,0,0,1,0
1,24,125,2,0,0,1,0,0,0,1,0,0,0,1
1,77,29,2,0,1,0,0,0,0,1,0,0,0,0
1,44,600,2,0,0,0,0,0,0,1,0,0,0,0
0,75,2165,2,1,0,0,0,0,0,1,0,0,0,0
1,61,2061,2,0,0,0,0,0,0,1,0,0,1,0
0,47,494,2,0,0,0,0,0,0,1,0,0,0,1
0,56,2121,2,1,0,0,0,0,0,1,0,0,1,0
0,82,519,2,1,0,0,0,0,0,1,0,0,0,1
0,56,2585,2,0,0,1,0,0,0,1,0,0,0,1
1,41,1903,2,0,0,1,0,0,0,1,0,0,0,0
0,71,2268,2,1,0,0,0,0,0,1,0,0,0,1
0,53,1662,2,0,0,1,0,0,0,1,0,0,0,0
0,71,1398,2,0,0,0,1,0,0,1,0,0,0,0
0,66,646,2,0,0,0,1,0,0,1,0,0,1,0
0,47,602,2,1,0,0,0,0,0,1,0,0,0,1
1,25,813,2,1,0,0,0,0,0,1,0,0,0,1
1,81,1806,2,0,1,0,0,0,0,1,0,0,0,0
0,32,160,2,0,0,0,0,0,0,1,0,0,1,0
0,79,220,2,0,0,1,0,0,0,1,0,0,0,0
0,67,147,2,1,0,0,0,0,0,1,0,0,1,0
0,66,1714,2,0,0,1,0,0,0,1,0,0,0,0
1,38,18,2,1,0,0,0,0,0,1,0,0,0,0
1,77,2116,2,1,0,0,0,0,0,1,0,0,1,0
1,75,25,2,0,0,0,1,0,0,1,0,0,1,0
1,30,1538,2,1,0,0,0,0,0,1,0,0,1,0
1,56,1340,2,0,1,0,0,0,0,1,0,0,0,0
1,83,1462,2,1,0,0,0,0,0,1,0,0,0,0
1,33,375,2,1,0,0,0,0,0,1,0,0,1,0
1,34,1950,2,1,0,0,0,0,0,1,0,0,1,0
0,73,1969,2,0,0,0,0,0,0,1,0,0,0,0
0,31,453,2,0,0,0,0,0,0,1,0,0,1,0
0,44,833,2,0,0,0,0,0,0,1,0,0,1,0
1,60,164,2,0,0,0,0,0,0,1,0,0,0,0
1,54,503,2,0,1,0,0,0,0,1,0,0,0,0
0,28,846,2,1,0,0,0,0,0,1,0,0,1,0
0,45,501,2,0,0,1,0,0,0,1,0,0,1,0
0,46,16,2,1,0,0,0,0,0,1,0,0,0,0
0,60,1637,2,1,0,0,0,0,0,1,0,0,0,1
0,34,116,2,0,0,1,0,0,0,1,0,0,0,0
1,63,196,2,0,0,1,0,0,0,1,0,0,1,0
1,80,493,2,1,0,0,0,0,0,1,0,0,0,1
0,66,991,2,1,0,0,0,0,0,1,0,0,1,0
0,41,420,2,0,0,0,0,0,0,1,0,0,1,0
0,64,2186,2,0,0,0,0,0,0,1,0,0,0,0
1,28,1359,2,0,0,0,1,0,0,1,0,0,0,0
1,48,1567,2,1,0,0,0,0,0,1,0,0,0,1
1,63,399,2,1,0,0,0,0,0,1,0,0,0,0
1,53,152,2,0,0,0,1,0,0,1,0,0,0,1
1,49,27,2,1,0,0,0,0,0,1,0,0,0,0
1,48,2157,2,0,0,1,0,0,0,1,0,0,0,0
1,63,4,2,0,1,0,0,0,0,1,0,0,0,0
1,48,2228,2,0,0,0,0,0,0,1,0,0,1,0
0,27,1083,2,0,0,0,1,0,0,1,0,0,0,1
0,74,2571,2,0,0,0,0,0,0,1,0,0,1,0
0,30,2794,2,0,0,0,0,0,0,1,0,0,0,0
0,36,1390,3,0,0,0,1,0,0,1,0,0,0,0
1,61,960,3,0,1,0,0,0,0,1,0,0,0,0
1,50,2180,2,1,0,0,0,0,0,1,0,0,0,0
0,64,1186,2,0,0,1,0,0,0,1,0,0,0,1
0,61,1297,3,0,1,0,0,0,0,1,0,0,0,0
0,75,2489,2,0,0,1,0,0,0,1,0,0,0,1
1,78,2406,2,0,1,0,0,0,0,1,0,0,0,1
0,79,1887,2,0,0,0,1,0,0,1,0,0,0,0
1,41,325,2,1,0,0,0,0,0,1,0,0,1,0
1,47,2546,2,0,1,0,0,0,0,1,0,0,0,1
0,44,1467,2,0,0,1,0,0,0,1,0,0,1,0
0,51,646,2,0,0,1,0,0,0,1,0,0,0,1
0,62,56,2,0,0,0,0,0,0,1,0,0,0,1
1,78,328,2,0,0,0,1,0,1,0,0,0,1,0
0,25,322,2,0,1,0,0,0,1,0,0,0,1,0
1,66,2269,2,1,0,0,0,0,1,0,0,0,0,0
0,68,160,2,0,1,0,0,0,1,0,0,0,1,0
1,40,540,2,0,1,0,0,0,1,0,0,0,1,0
0,71,1349,2,0,1,0,0,0,1,0,0,0,0,0
0,71,607,2,1,0,0,0,0,1,0,0,0,0,1
0,41,1865,2,0,0,0,1,0,1,0,0,0,0,1
0,69,1829,2,0,1,0,0,0,1,0,0,0,0,0
1,48,468,1,1,0,0,0,0,1,0,0,0,0,0
0,75,822,2,0,0,0,0,0,1,0,0,0,0,0
1,68,2296,2,0,0,0,0,0,1,0,0,0,1,0
1,49,1014,2,0,0,1,0,0,1,0,0,0,0,1
0,45,1598,2,0,0,0,1,0,1,0,0,0,0,0
0,50,923,2,0,1,0,0,1,0,0,0,0,1,0
0,38,252,1,0,0,0,1,1,0,0,0,0,0,0
0,77,2309,2,1,0,0,0,0,1,0,0,0,0,1
0,27,1276,2,1,0,0,0,0,1,0,0,0,0,0
0,25,38,2,0,0,0,0,0,1,0,0,0,1,0
0,33,2532,2,0,0,0,0,0,1,0,0,0,1,0
0,35,2426,2,1,0,0,0,0,1,0,0,0,0,0
0,70,761,3,0,0,1,0,0,1,0,0,0,0,1
0,78,2449,0,0,0,0,1,0,1,0,0,0,0,1
1,76,2789,1,0,1,0,0,0,1,0,0,0,0,1
1,61,423,0,0,1,0,0,0,1,0,0,0,1,0
0,73,280,0,0,0,0,0,1,0,0,0,0,0,0
0,64,818,2,0,1,0,0,1,0,0,0,0,0,1
0,32,1434,2,0,1,0,0,0,1,0,0,0,1,0
0,80,1725,2,1,0,0,0,0,1,0,0,0,0,0
0,69,42,0,0,0,1,0,0,1,0,0,0,0,0
1,46,856,0,0,0,0,0,0,1,0,0,0,0,0
0,25,1666,0,0,1,0,0,0,1,0,0,0,1,0
0,56,47,2,0,1,0,0,0,1,0,0,0,1,0
0,55,1871,2,0,0,0,0,0,1,0,0,0,0,1
1,74,356,2,0,0,0,1,0,1,0,0,0,1,0
1,49,14,2,0,0,0,0,0,1,0,0,0,0,1
0,64,434,0,0,0,0,1,1,0,0,0,0,0,1
0,56,2444,0,0,1,0,0,1,0,0,0,0,0,0
0,50,1106,2,0,0,0,0,0,1,0,0,0,0,1
0,27,473,2,0,1,0,0,0,1,0,0,0,1,0
0,29,2414,2,0,0,0,0,0,1,0,0,0,0,1
1,47,1906,2,0,0,0,1,0,1,0,0,0,0,0
0,72,841,2,0,1,0,0,0,1,0,0,0,1,0
0,31,437,0,1,0,0,0,0,1,0,0,0,0,1
1,38,939,0,0,0,0,1,0,1,0,0,0,0,0
1,42,448,2,0,0,0,0,0,1,0,0,0,0,0
0,84,91,2,1,0,0,0,1,0,0,0,0,1,0
0,26,445,2,0,0,1,0,1,0,0,0,0,1,0
0,31,87,0,0,0,1,0,1,0,0,0,0,0,1
0,62,9,0,1,0,0,0,0,1,0,0,0,1,0
0,74,1563,2,0,0,1,0,0,1,0,0,0,1,0
1,34,993,0,0,1,0,0,0,1,0,0,0,1,0
1,30,813,2,0,0,0,0,0,1,0,0,0,1,0
0,61,1502,0,0,0,1,0,0,1,0,0,0,0,1
0,37,1485,0,0,0,0,1,0,1,0,0,0,1,0
1,54,2523,0,0,0,1,0,0,1,0,0,0,0,0
1,57,190,1,0,0,1,0,0,1,0,0,0,0,0
0,62,388,1,0,0,0,0,0,0,1,0,0,0,1
0,66,225,2,0,0,1,0,1,0,0,0,0,0,0
0,39,2808,2,0,0,1,0,1,0,0,0,0,1,0
0,26,2452,2,0,1,0,0,0,1,0,0,0,0,0
0,48,135,2,0,1,0,0,0,1,0,0,0,0,0
0,59,0,2,0,0,0,0,0,1,0,0,0,1,0
1,54,1236,2,0,0,0,1,0,1,0,0,0,1,0
1,60,913,2,0,0,0,0,0,1,0,0,0,1,0
0,53,475,2,0,1,0,0,0,1,0,0,0,1,0
0,28,2162,2,0,1,0,0,0,1,0,0,0,0,1
